id_resena,marca,rating,titulo,cuerpo,fecha,verificado,util_votos,tipo
R1000,AudioPro,4,Se conectan instantáneamente al encender,"Se conectan instantáneamente al encender, sin complicaciones",2024-04-05,No,26,positiva
R1001,PureAudio,4,Compatibles con todos mis dispositivos s,Compatibles con todos mis dispositivos sin ningún problema,2024-01-01,Si,55,positiva
R1002,EchoWave,3,El audio se corta constantemente después,El audio se corta constantemente después de 2 semanas de uso,2024-04-23,No,139,negativa
R1003,ZenSound,2,No es compatible con asistentes de voz c,No es compatible con asistentes de voz como Alexa o Google,2024-01-25,Si,108,negativa
R1004,HyperBass,1,Las almohadillas se deterioran muy rápid,"Las almohadillas se deterioran muy rápido, en 3 meses ya se pelan",2024-02-03,Si,24,negativa
R1005,ZenSound,2,El embalaje llegó dañado y los auricular,El embalaje llegó dañado y los auriculares tenían golpes,2024-01-24,Si,137,negativa
R1006,EchoWave,2,"La batería no dura lo que dicen, máximo ","La batería no dura lo que dicen, máximo 20 horas reales",2024-05-27,No,92,negativa
R1007,AudioPro,4,Excelente calidad de sonido para el prec,Excelente calidad de sonido para el precio que tienen,2024-05-03,Si,25,positiva
R1008,ClearTone,2,El estuche de transporte es de plástico ,El estuche de transporte es de plástico muy frágil,2024-06-12,Si,68,negativa
R1009,ClearTone,4,Compatibles con todos mis dispositivos s,Compatibles con todos mis dispositivos sin ningún problema,2024-09-24,Si,41,positiva
R1010,AudioPro,2,"Se escucha eco en las llamadas, la otra ","Se escucha eco en las llamadas, la otra persona se queja",2024-11-11,Si,58,negativa
R1011,ZenSound,5,Llegaron antes de lo esperado y muy bien,Llegaron antes de lo esperado y muy bien empacados,2024-02-07,No,80,positiva
R1012,NovaBeat,2,No incluye cable auxiliar en la caja,No incluye cable auxiliar en la caja,2024-03-09,Si,63,negativa
R1013,PureAudio,5,Compatibles con todos mis dispositivos s,Compatibles con todos mis dispositivos sin ningún problema,2024-10-13,Si,56,positiva
R1014,NovaBeat,4,"Muy buena relación precio-calidad, los r","Muy buena relación precio-calidad, los recomiendo",2024-02-25,Si,28,positiva
R1015,StellarSound,1,El volumen máximo es muy bajo para ambie,El volumen máximo es muy bajo para ambientes ruidosos,2024-02-13,Si,119,negativa
R1016,BassKing,3,El audio se corta constantemente después,El audio se corta constantemente después de 2 semanas de uso,2024-11-18,Si,87,negativa
R1017,NovaBeat,2,No se conecta bien con dispositivos Andr,"No se conecta bien con dispositivos Android, solo funciona con iPhone",2024-01-24,No,67,negativa
R1018,BassKing,4,"Muy buena relación precio-calidad, los r","Muy buena relación precio-calidad, los recomiendo",2024-11-10,No,129,positiva
R1019,ClearTone,4,"El micrófono es claro, mis compañeros me","El micrófono es claro, mis compañeros me escuchan perfecto en llamadas",2024-09-25,No,0,positiva
R1020,BassKing,5,Excelente calidad de sonido para el prec,Excelente calidad de sonido para el precio que tienen,2024-06-27,Si,61,positiva
R1021,BassKing,3,"La batería no dura lo que dicen, máximo ","La batería no dura lo que dicen, máximo 20 horas reales",2024-12-16,Si,136,negativa
R1022,EchoWave,4,El diseño es elegante y se ven premium p,El diseño es elegante y se ven premium para su precio,2024-03-09,No,108,positiva
R1023,PureAudio,4,Se conectan instantáneamente al encender,"Se conectan instantáneamente al encender, sin complicaciones",2024-11-21,Si,112,positiva
R1024,AudioPro,5,La batería dura exactamente lo que prome,"La batería dura exactamente lo que prometen, muy satisfecho",2024-04-03,Si,5,positiva
R1025,AudioPro,4,Compatibles con todos mis dispositivos s,Compatibles con todos mis dispositivos sin ningún problema,2024-01-03,No,15,positiva
R1026,BassKing,1,Se calienta mucho en los oídos después d,Se calienta mucho en los oídos después de 1 hora de uso,2024-09-08,Si,124,negativa
R1027,StellarSound,1,No es compatible con asistentes de voz c,No es compatible con asistentes de voz como Alexa o Google,2024-08-08,Si,104,negativa
R1028,HyperBass,1,El volumen máximo es muy bajo para ambie,El volumen máximo es muy bajo para ambientes ruidosos,2024-07-14,Si,13,negativa
R1029,PureAudio,4,Excelente calidad de sonido para el prec,Excelente calidad de sonido para el precio que tienen,2024-12-11,Si,63,positiva
R1030,ClearTone,3,Se desconecta solo cuando el teléfono es,Se desconecta solo cuando el teléfono está a más de 5 metros,2024-07-06,Si,118,negativa
R1031,EchoWave,1,Se desconecta solo cuando el teléfono es,Se desconecta solo cuando el teléfono está a más de 5 metros,2024-02-02,No,138,negativa
R1032,ClearTone,4,La cancelación de ruido funciona muy bie,La cancelación de ruido funciona muy bien en el metro,2024-07-16,Si,54,positiva
